traffic_density,horn_events_per_min,avg_speed,signal_wait_time,road_quality_score,stress_index,driver_experience_encoded,weather_Foggy,weather_Hot,weather_Rainy,congestion_score,horn_density
112,12.93,28.61,56.58,7.31,68.37,1.0,1,0,0,63.3696,0.11442477876106194
61,7.43,54.22,35.64,8.78,47.14,0.0,0,0,1,21.7404,0.11983870967741934
102,11.07,41.42,54.61,8.34,55.02,1.0,0,0,0,55.702200000000005,0.1074757281553398
24,1.54,69.86,16.09,6.29,22.71,2.0,0,0,0,3.8615999999999997,0.0616
116,11.6,33.01,62.51,8.19,49.91,2.0,0,0,0,72.5116,0.09914529914529914
81,17.88,51.57,43.04,7.01,54.71,1.0,1,0,0,34.8624,0.21804878048780488
70,12.63,53.76,40.04,6.04,62.68,0.0,0,0,0,28.028,0.177887323943662
30,7.73,66.33,18.42,3.38,45.5,1.0,1,0,0,5.526,0.24935483870967742
112,13.63,28.79,65.71,7.61,74.61,0.0,0,0,1,73.59519999999999,0.12061946902654867
92,13.6,47.34,48.67,6.73,66.97,0.0,0,0,1,44.7764,0.14623655913978495
96,12.5,39.02,50.28,8.6,59.78,1.0,0,0,0,48.2688,0.12886597938144329
84,5.96,43.72,46.97,10.0,37.02,2.0,0,0,0,39.4548,0.07011764705882353
84,16.04,44.64,48.67,5.39,47.63,2.0,0,0,1,40.8828,0.18870588235294117
97,11.32,42.13,47.68,4.35,59.49,1.0,0,0,0,46.2496,0.11551020408163265
109,11.09,25.97,57.64,4.77,62.21,1.0,0,0,0,62.827600000000004,0.10081818181818182
113,14.94,37.33,64.22,7.79,50.12,2.0,1,0,0,72.5686,0.13105263157894737
33,5.43,63.45,20.63,6.34,38.72,1.0,0,0,0,6.8079,0.15970588235294117
12,3.98,69.98,9.2,7.29,19.29,0.0,0,0,0,1.1039999999999999,0.30615384615384617
31,3.66,63.49,23.07,6.65,25.4,1.0,1,0,0,7.1517,0.114375
62,6.33,63.08,40.82,8.82,43.38,1.0,0,1,0,25.308400000000002,0.10047619047619048
