road_quality_score,stress_index,driver_experience_encoded,congestion_score
7.31,68.37,1.0,63.3696
8.78,47.14,0.0,21.7404
8.34,55.02,1.0,55.702200000000005
6.29,22.71,2.0,3.8615999999999997
8.19,49.91,2.0,72.5116
7.01,54.71,1.0,34.8624
6.04,62.68,0.0,28.028
3.38,45.5,1.0,5.526
7.61,74.61,0.0,73.59519999999999
6.73,66.97,0.0,44.7764
8.6,59.78,1.0,48.2688
10.0,37.02,2.0,39.4548
5.39,47.63,2.0,40.8828
4.35,59.49,1.0,46.2496
4.77,62.21,1.0,62.827600000000004
7.79,50.12,2.0,72.5686
6.34,38.72,1.0,6.8079
7.29,19.29,0.0,1.1039999999999999
6.65,25.4,1.0,7.1517
8.82,43.38,1.0,25.308400000000002
7.06,26.59,0.0,1.3431
4.8,69.27,1.0,56.93900000000001
5.39,77.27,0.0,75.5001
8.81,34.67,1.0,10.100999999999999
5.89,48.95,1.0,13.6629
8.23,20.89,1.0,1.5015
7.18,43.8,1.0,28.761999999999997
8.72,49.27,0.0,25.2264
9.8,32.38,0.0,6.006
5.53,33.55,2.0,11.180399999999999
9.26,54.65,1.0,38.6835
5.03,49.18,0.0,23.805100000000003
8.71,24.38,0.0,3.3790000000000004
6.08,78.28,0.0,69.3342
2.69,73.46,0.0,57.73179999999999
10.0,40.05,1.0,19.2908
6.78,62.67,0.0,53.91
8.49,39.23,1.0,24.1264
6.5,34.86,1.0,17.3349
8.73,71.64,0.0,57.287200000000006
5.53,44.66,1.0,28.7316
6.07,51.2,1.0,41.2337
8.21,25.88,0.0,4.9656
6.79,35.38,1.0,28.343200000000003
5.1,64.23,0.0,26.916099999999997
7.87,37.43,1.0,21.5264
7.71,46.07,1.0,29.699299999999997
6.69,42.19,0.0,22.41
5.71,66.0,1.0,72.2358
6.79,40.79,1.0,22.227199999999996
8.65,42.97,0.0,30.433699999999998
6.3,24.01,0.0,1.9884
3.75,87.67,0.0,70.00399999999999
6.63,48.44,1.0,21.168000000000003
6.91,21.9,1.0,1.7888
7.38,35.72,1.0,7.512
7.33,68.33,1.0,38.2776
8.29,32.77,1.0,14.788799999999998
6.76,23.97,1.0,5.626799999999999
6.68,26.05,1.0,1.521
7.51,64.45,0.0,50.6562
3.58,47.34,2.0,28.6902
6.15,30.82,2.0,3.7927
6.18,26.38,1.0,1.5479999999999998
6.58,59.07,2.0,55.77660000000001
4.69,51.68,1.0,22.6052
7.22,19.73,2.0,0.9361
6.45,50.72,1.0,50.1549
4.09,68.56,1.0,56.883199999999995
5.89,36.75,1.0,23.9292
7.12,51.14,1.0,36.424
9.19,37.94,1.0,20.426199999999998
10.0,18.13,2.0,2.2372
6.75,38.53,0.0,17.108
9.28,19.81,2.0,12.663200000000002
8.99,37.01,2.0,41.2728
8.09,54.85,1.0,42.183
5.3,43.3,0.0,13.536
8.25,35.33,1.0,21.771
5.67,62.98,1.0,69.16730000000001
8.69,23.41,1.0,1.6653
6.61,28.38,2.0,0.7392
6.72,22.65,1.0,1.044
8.21,46.4,0.0,18.7299
10.0,68.36,0.0,73.6115
7.93,20.11,0.0,1.5001999999999998
10.0,35.95,2.0,18.8622
5.3,64.38,1.0,59.2314
6.01,54.65,1.0,30.348
6.55,28.01,1.0,5.7564
5.97,58.51,1.0,52.4007
8.69,27.69,2.0,18.2055
5.89,41.61,0.0,10.9005
5.87,66.88,0.0,42.8363
4.19,69.77,0.0,28.442600000000002
6.98,48.42,2.0,67.1767
9.25,30.95,0.0,4.8507
8.14,44.42,2.0,55.4112
10.0,49.42,0.0,19.328699999999998
9.19,26.05,1.0,3.3888
9.28,54.19,0.0,37.1952
10.0,31.27,2.0,46.6059
8.28,63.07,0.0,46.896
4.66,42.61,2.0,27.1504
8.23,38.09,0.0,13.269199999999998
8.04,49.95,1.0,50.214800000000004
6.64,68.69,0.0,43.2807
5.52,81.25,0.0,81.56160000000001
8.33,49.99,1.0,44.863
6.59,39.0,0.0,25.6866
6.28,30.33,1.0,6.7056000000000004
10.0,24.95,1.0,7.028
9.69,51.68,1.0,57.7906
4.12,53.85,1.0,27.1377
10.0,56.05,1.0,72.275
7.58,35.13,2.0,17.31
8.56,40.29,0.0,8.181400000000002
9.09,26.6,0.0,3.9672
9.56,28.2,1.0,18.5652
8.87,35.8,1.0,28.8304
5.67,54.3,1.0,52.34179999999999
8.29,40.85,2.0,33.952
9.19,17.62,1.0,2.1635999999999997
9.51,46.89,1.0,52.1763
4.97,13.97,1.0,0.818
8.63,81.23,0.0,69.4278
8.87,13.87,2.0,2.9563
5.49,64.64,1.0,52.88440000000001
8.37,37.13,1.0,30.290399999999998
6.6,21.39,1.0,2.786
5.82,61.47,1.0,52.731
5.28,26.72,0.0,1.6983000000000001
6.51,41.8,0.0,12.254000000000001
8.6,40.91,0.0,12.034
2.26,40.05,1.0,11.335799999999999
4.63,21.62,2.0,1.3817999999999997
6.04,66.94,1.0,75.9575
9.38,47.97,1.0,69.89920000000001
6.86,33.55,1.0,13.84
9.55,32.64,0.0,8.7431
6.17,35.29,0.0,1.776
3.93,63.35,1.0,39.4256
4.16,69.11,0.0,34.7085
5.86,23.12,1.0,2.6334
3.75,36.12,2.0,10.986500000000001
7.2,32.98,0.0,9.7902
10.0,37.42,0.0,19.8246
4.34,32.2,1.0,6.8224
8.6,48.54,0.0,26.8948
9.92,49.82,1.0,49.179
6.2,36.98,1.0,14.756799999999998
6.46,73.37,0.0,61.2792
4.46,35.69,1.0,16.4989
4.3,77.03,1.0,68.4328
7.39,60.27,1.0,54.40650000000001
10.0,52.5,1.0,53.7
5.87,26.96,2.0,10.3708
8.26,36.02,2.0,30.991200000000003
5.16,57.58,2.0,70.2756
5.72,78.17,0.0,72.89699999999999
4.91,54.87,1.0,20.5408
5.53,70.46,1.0,44.5092
7.23,18.89,1.0,2.2404
3.61,38.09,1.0,1.0659999999999998
6.74,25.45,1.0,1.4979999999999998
2.77,72.6,1.0,55.628099999999996
6.04,38.7,1.0,3.8847000000000005
4.52,67.55,1.0,68.54400000000001
9.82,31.87,1.0,8.1396
7.37,33.7,0.0,2.898
